Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim158	0	0.138695703708822	0.0322955376608169	0.111135899800268	0	0.0493886202075448	0.307137408818925	0.361346829803623	0	0.121574924129937	1.1245563938054
Sim159	0.258447295142818	0.121403828566814	0.316385075219209	0.0539914001289966	0.103500930095791	0.14627147084637	0	0	0	0.0522307854075464	1.2405137459933
Sim160	0.376264288525837	0	0.182569170339094	0	0	0.14754009398079	0.0818583146196493	0.21176813253463	0	0.0115615443689722	1.213848564173
Sim161	0.239324161495958	0	0	0.174365994483431	0	0.111596067795408	0.0959011657769728	0.378812610448231	0	0.212064079597079	1.07839782421721
Sim162	0.00426887827199359	0.166963257907457	0.0641510065814659	0	0	0.274627807677351	0.181253355420563	0.308735694141169	0	0.201546927902223	1.09156956771994
Sim163	0	0	0.29466652017528	0.0819185695019085	0.116139126296294	0.243465560872687	0.26381022315383	0	0	0.144946945083324	1.1885203671612
Sim164	0.148760627388111	0.480399823858286	0.124656872201711	0	0.0174008748831207	0.0618670443958618	0	0.166914757272911	0	0.0786031245589378	1.18705915944078
Sim165	0.0449954632581209	0.228649854386853	0.171952248631018	0.204107395733293	0.158434491088706	0.0773694430820902	0.0376956927210887	0.0767954110988309	0	0.225121405338934	1.110120067362
Sim166	0.495975048737291	0.273898738577133	0.08028452794468	0	0.0550900718818581	0.0947516128590375	0	0	0	0.153931171276096	1.1807548593979
Sim167	0	0.48352531683008	0.192699228568069	0	0	0.0538942380800297	0	0.269881216521822	0	0.249501565088951	1.06698058257841
Sim168	0	0.318246341868841	0.0466332398830948	0.00743925824225461	0.0835322634923112	0.188620804582475	0.0997424819742002	0.255785609956823	0	0.2141461873862	1.08677401138581
Sim169	0.441756395033646	0	0	0.145135339335803	0.0795048972160936	0.107850574234452	0.225752794180005	0	0	0.158026414843635	1.17836904320486
Sim170	0.186364669097359	0.0363070397833463	0.00862814848853513	0	0.175645822686506	0.27026852019461	0.163623806271337	0.159161993478307	0	0.18881827370286	1.12545849821954
Sim171	0	0	0	0.258946770798428	0.0456274374777864	0.234189020573813	0.154646188480071	0.306590582669902	0	0.196379141454443	1.1044336042568
Sim172	0.0597558384284797	0.132468440296403	0.0944662713370226	0.264334418592771	0.220538422930193	0	0.22843660841513	0	0	0.210985719591067	1.13421154421553
Sim173	0	0.442236122518799	0	0.123087137923182	0	0	0.203733723494564	0.230943016063454	0	0.183045505637783	1.10980931709524
Sim174	0.246756645044095	0.371457715659311	0.15225960051046	0	0.0578956501669874	0.171630388619147	0	0	0	0.118003421943304	1.20404157111951
Sim175	0	0.340805339259843	0.363839635820163	0	0	0	0	0.295355024919994	0	0.0979000924252592	1.16641807760401
Sim176	0.233467515094217	0.259379661813685	0.144158589302869	0.101261150816879	0.232603749213784	0.0291293337585663	0	0	0	0.169725014691839	1.16050353301528
Sim177	0.756646005252479	0	0	0.199239795045602	0	0	0	0.044114199701919	0	0.235938885978866	1.12473233970926
Sim178	0.0416987567007139	0.139603844448152	0.0319815284053776	0.0491161227458861	0	0.140684021738285	0.268193705768909	0.328722020192676	0	0.23390878598666	1.06040432704282
Sim179	0	0	0.177023266061508	0.159516989685915	0	0.0730898852699446	0.571697554566407	0.0186723044162252	0	0.186082546490643	1.15766995978167
Sim180	0	0.159179979908948	0.0412464119108554	0.038680383432431	0.120678763452701	0.0725102157345147	0.273056670734603	0.294647574825947	0	0.21055531210857	1.08337322502165
Sim181	0	0.245042615279643	0.134539373788482	0	0.349428297802206	0	0.270989713129669	0	0	0.135888291836563	1.19101554199581
Sim182	0.340377034623583	0	0.132536432874193	0	0.193311704919403	0.121317044656505	0.0950529510526954	0.117404831873621	0	0.110751178731673	1.17256699877053
